id,gender,age,path,mask
000001,1,18,000001_female_Asian_45,mask1
000001,1,18,000001_female_Asian_45,mask2
000001,1,18,000001_female_Asian_45,mask3
000001,1,18,000001_female_Asian_45,mask4
000001,1,18,000001_female_Asian_45,mask5
000001,1,18,000001_female_Asian_45,normal
000001,1,18,000001_female_Asian_45,incorrect_mask
000002,1,18,000002_female_Asian_52,mask1
000002,1,18,000002_female_Asian_52,mask2
000002,1,18,000002_female_Asian_52,mask3
000002,1,18,000002_female_Asian_52,mask4
000002,1,18,000002_female_Asian_52,mask5
000002,1,18,000002_female_Asian_52,normal
000002,1,18,000002_female_Asian_52,incorrect_mask
000004,1,18,000004_male_Asian_54,mask1
000004,1,18,000004_male_Asian_54,mask2
000004,1,18,000004_male_Asian_54,mask3
000004,1,18,000004_male_Asian_54,mask4
000004,1,18,000004_male_Asian_54,mask5
000004,1,18,000004_male_Asian_54,normal
000004,1,18,000004_male_Asian_54,incorrect_mask
000005,1,18,000005_female_Asian_58,mask1
000005,1,18,000005_female_Asian_58,mask2
000005,1,18,000005_female_Asian_58,mask3
000005,1,18,000005_female_Asian_58,mask4
000005,1,18,000005_female_Asian_58,mask5
000005,1,18,000005_female_Asian_58,normal
000005,1,18,000005_female_Asian_58,incorrect_mask
000006,1,18,000006_female_Asian_59,mask1
000006,1,18,000006_female_Asian_59,mask2
000006,1,18,000006_female_Asian_59,mask3
000006,1,18,000006_female_Asian_59,mask4
000006,1,18,000006_female_Asian_59,mask5
000006,1,18,000006_female_Asian_59,normal
000006,1,18,000006_female_Asian_59,incorrect_mask
000007,1,18,000007_female_Asian_58,mask1
000007,1,18,000007_female_Asian_58,mask2
000007,1,18,000007_female_Asian_58,mask3
000007,1,18,000007_female_Asian_58,mask4
000007,1,18,000007_female_Asian_58,mask5
000007,1,18,000007_female_Asian_58,normal
000007,1,18,000007_female_Asian_58,incorrect_mask
000008,1,18,000008_female_Asian_58,mask1
000008,1,18,000008_female_Asian_58,mask2
000008,1,18,000008_female_Asian_58,mask3
000008,1,18,000008_female_Asian_58,mask4
000008,1,18,000008_female_Asian_58,mask5
000008,1,18,000008_female_Asian_58,normal
000008,1,18,000008_female_Asian_58,incorrect_mask
000009,1,18,000009_female_Asian_56,mask1
000009,1,18,000009_female_Asian_56,mask2
000009,1,18,000009_female_Asian_56,mask3
000009,1,18,000009_female_Asian_56,mask4
000009,1,18,000009_female_Asian_56,mask5
000009,1,18,000009_female_Asian_56,normal
000009,1,18,000009_female_Asian_56,incorrect_mask
000010,1,18,000010_female_Asian_58,mask1
000010,1,18,000010_female_Asian_58,mask2
000010,1,18,000010_female_Asian_58,mask3
000010,1,18,000010_female_Asian_58,mask4
000010,1,18,000010_female_Asian_58,mask5
000010,1,18,000010_female_Asian_58,normal
000010,1,18,000010_female_Asian_58,incorrect_mask
000012,1,18,000012_male_Asian_57,mask1
000012,1,18,000012_male_Asian_57,mask2
000012,1,18,000012_male_Asian_57,mask3
000012,1,18,000012_male_Asian_57,mask4
000012,1,18,000012_male_Asian_57,mask5
000012,1,18,000012_male_Asian_57,normal
000012,1,18,000012_male_Asian_57,incorrect_mask
000014,1,18,000014_female_Asian_58,mask1
000014,1,18,000014_female_Asian_58,mask2
000014,1,18,000014_female_Asian_58,mask3
000014,1,18,000014_female_Asian_58,mask4
000014,1,18,000014_female_Asian_58,mask5
000014,1,18,000014_female_Asian_58,normal
000014,1,18,000014_female_Asian_58,incorrect_mask
000015,1,18,000015_male_Asian_55,mask1
000015,1,18,000015_male_Asian_55,mask2
000015,1,18,000015_male_Asian_55,mask3
000015,1,18,000015_male_Asian_55,mask4
000015,1,18,000015_male_Asian_55,mask5
000015,1,18,000015_male_Asian_55,normal
000015,1,18,000015_male_Asian_55,incorrect_mask
000016,1,18,000016_female_Asian_58,mask1
000016,1,18,000016_female_Asian_58,mask2
