id,gender,age,path,mask,mask_1
000001,1,18,000001_female_Asian_45,mask1,1
000001,1,18,000001_female_Asian_45,mask2,1
000001,1,18,000001_female_Asian_45,mask3,1
000001,1,18,000001_female_Asian_45,mask4,1
000001,1,18,000001_female_Asian_45,mask5,1
000001,1,18,000001_female_Asian_45,normal,0
000001,1,18,000001_female_Asian_45,incorrect_mask,2
000002,1,18,000002_female_Asian_52,mask1,1
000002,1,18,000002_female_Asian_52,mask2,1
000002,1,18,000002_female_Asian_52,mask3,1
000002,1,18,000002_female_Asian_52,mask4,1
000002,1,18,000002_female_Asian_52,mask5,1
000002,1,18,000002_female_Asian_52,normal,0
000002,1,18,000002_female_Asian_52,incorrect_mask,2
000004,1,18,000004_male_Asian_54,mask1,1
000004,1,18,000004_male_Asian_54,mask2,1
000004,1,18,000004_male_Asian_54,mask3,1
000004,1,18,000004_male_Asian_54,mask4,1
000004,1,18,000004_male_Asian_54,mask5,1
000004,1,18,000004_male_Asian_54,normal,0
000004,1,18,000004_male_Asian_54,incorrect_mask,2
000005,1,18,000005_female_Asian_58,mask1,1
000005,1,18,000005_female_Asian_58,mask2,1
000005,1,18,000005_female_Asian_58,mask3,1
000005,1,18,000005_female_Asian_58,mask4,1
000005,1,18,000005_female_Asian_58,mask5,1
000005,1,18,000005_female_Asian_58,normal,0
000005,1,18,000005_female_Asian_58,incorrect_mask,2
000006,1,18,000006_female_Asian_59,mask1,1
000006,1,18,000006_female_Asian_59,mask2,1
000006,1,18,000006_female_Asian_59,mask3,1
000006,1,18,000006_female_Asian_59,mask4,1
000006,1,18,000006_female_Asian_59,mask5,1
000006,1,18,000006_female_Asian_59,normal,0
000006,1,18,000006_female_Asian_59,incorrect_mask,2
000007,1,18,000007_female_Asian_58,mask1,1
000007,1,18,000007_female_Asian_58,mask2,1
000007,1,18,000007_female_Asian_58,mask3,1
000007,1,18,000007_female_Asian_58,mask4,1
000007,1,18,000007_female_Asian_58,mask5,1
000007,1,18,000007_female_Asian_58,normal,0
000007,1,18,000007_female_Asian_58,incorrect_mask,2
000008,1,18,000008_female_Asian_58,mask1,1
000008,1,18,000008_female_Asian_58,mask2,1
000008,1,18,000008_female_Asian_58,mask3,1
000008,1,18,000008_female_Asian_58,mask4,1
000008,1,18,000008_female_Asian_58,mask5,1
000008,1,18,000008_female_Asian_58,normal,0
000008,1,18,000008_female_Asian_58,incorrect_mask,2
000009,1,18,000009_female_Asian_56,mask1,1
000009,1,18,000009_female_Asian_56,mask2,1
000009,1,18,000009_female_Asian_56,mask3,1
000009,1,18,000009_female_Asian_56,mask4,1
000009,1,18,000009_female_Asian_56,mask5,1
000009,1,18,000009_female_Asian_56,normal,0
000009,1,18,000009_female_Asian_56,incorrect_mask,2
000010,1,18,000010_female_Asian_58,mask1,1
000010,1,18,000010_female_Asian_58,mask2,1
000010,1,18,000010_female_Asian_58,mask3,1
000010,1,18,000010_female_Asian_58,mask4,1
000010,1,18,000010_female_Asian_58,mask5,1
000010,1,18,000010_female_Asian_58,normal,0
000010,1,18,000010_female_Asian_58,incorrect_mask,2
000012,1,18,000012_male_Asian_57,mask1,1
000012,1,18,000012_male_Asian_57,mask2,1
000012,1,18,000012_male_Asian_57,mask3,1
000012,1,18,000012_male_Asian_57,mask4,1
000012,1,18,000012_male_Asian_57,mask5,1
000012,1,18,000012_male_Asian_57,normal,0
000012,1,18,000012_male_Asian_57,incorrect_mask,2
000014,1,18,000014_female_Asian_58,mask1,1
000014,1,18,000014_female_Asian_58,mask2,1
000014,1,18,000014_female_Asian_58,mask3,1
000014,1,18,000014_female_Asian_58,mask4,1
000014,1,18,000014_female_Asian_58,mask5,1
000014,1,18,000014_female_Asian_58,normal,0
000014,1,18,000014_female_Asian_58,incorrect_mask,2
000015,1,18,000015_male_Asian_55,mask1,1
000015,1,18,000015_male_Asian_55,mask2,1
000015,1,18,000015_male_Asian_55,mask3,1
000015,1,18,000015_male_Asian_55,mask4,1
000015,1,18,000015_male_Asian_55,mask5,1
000015,1,18,000015_male_Asian_55,normal,0
000015,1,18,000015_male_Asian_55,incorrect_mask,2
000016,1,18,000016_female_Asian_58,mask1,1
000016,1,18,000016_female_Asian_58,mask2,1
000016,1,18,000016_female_Asian_58,mask3,1
000016,1,18,000016_female_Asian_58,mask4,1
000016,1,18,000016_female_Asian_58,mask5,1
000016,1,18,000016_female_Asian_58,normal,0
000016,1,18,000016_female_Asian_58,incorrect_mask,2
000018,1,18,000018_female_Asian_59,mask1,1
000018,1,18,000018_female_Asian_59,mask2,1
000018,1,18,000018_female_Asian_59,mask3,1
000018,1,18,000018_female_Asian_59,mask4,1
000018,1,18,000018_female_Asian_59,mask5,1
000018,1,18,000018_female_Asian_59,normal,0
000018,1,18,000018_female_Asian_59,incorrect_mask,2
000019,1,18,000019_female_Asian_57,mask1,1
000019,1,18,000019_female_Asian_57,mask2,1
000019,1,18,000019_female_Asian_57,mask3,1
000019,1,18,000019_female_Asian_57,mask4,1
000019,1,18,000019_female_Asian_57,mask5,1
000019,1,18,000019_female_Asian_57,normal,0
000019,1,18,000019_female_Asian_57,incorrect_mask,2
000020,1,18,000020_female_Asian_50,mask1,1
000020,1,18,000020_female_Asian_50,mask2,1
