id,gender,age,path,mask,class
000001,1,1,000001_female_Asian_45,0,4
000001,1,1,000001_female_Asian_45,0,4
000001,1,1,000001_female_Asian_45,0,4
000001,1,1,000001_female_Asian_45,0,4
000001,1,1,000001_female_Asian_45,0,4
000001,1,1,000001_female_Asian_45,2,16
000001,1,1,000001_female_Asian_45,1,10
000002,1,1,000002_female_Asian_52,0,4
000002,1,1,000002_female_Asian_52,0,4
000002,1,1,000002_female_Asian_52,0,4
000002,1,1,000002_female_Asian_52,0,4
000002,1,1,000002_female_Asian_52,0,4
000002,1,1,000002_female_Asian_52,2,16
000002,1,1,000002_female_Asian_52,1,10
000004,0,1,000004_male_Asian_54,0,1
000004,0,1,000004_male_Asian_54,0,1
000004,0,1,000004_male_Asian_54,0,1
000004,0,1,000004_male_Asian_54,0,1
000004,0,1,000004_male_Asian_54,0,1
000004,0,1,000004_male_Asian_54,2,13
000004,0,1,000004_male_Asian_54,1,7
000005,1,1,000005_female_Asian_58,0,4
000005,1,1,000005_female_Asian_58,0,4
000005,1,1,000005_female_Asian_58,0,4
000005,1,1,000005_female_Asian_58,0,4
000005,1,1,000005_female_Asian_58,0,4
000005,1,1,000005_female_Asian_58,2,16
000005,1,1,000005_female_Asian_58,1,10
000006,1,1,000006_female_Asian_59,0,4
000006,1,1,000006_female_Asian_59,0,4
000006,1,1,000006_female_Asian_59,0,4
000006,1,1,000006_female_Asian_59,0,4
000006,1,1,000006_female_Asian_59,0,4
000006,1,1,000006_female_Asian_59,2,16
000006,1,1,000006_female_Asian_59,1,10
000007,1,1,000007_female_Asian_58,0,4
000007,1,1,000007_female_Asian_58,0,4
000007,1,1,000007_female_Asian_58,0,4
000007,1,1,000007_female_Asian_58,0,4
000007,1,1,000007_female_Asian_58,0,4
000007,1,1,000007_female_Asian_58,2,16
000007,1,1,000007_female_Asian_58,1,10
000008,1,1,000008_female_Asian_58,0,4
000008,1,1,000008_female_Asian_58,0,4
000008,1,1,000008_female_Asian_58,0,4
000008,1,1,000008_female_Asian_58,0,4
000008,1,1,000008_female_Asian_58,0,4
000008,1,1,000008_female_Asian_58,2,16
000008,1,1,000008_female_Asian_58,1,10
000009,1,1,000009_female_Asian_56,0,4
000009,1,1,000009_female_Asian_56,0,4
000009,1,1,000009_female_Asian_56,0,4
000009,1,1,000009_female_Asian_56,0,4
000009,1,1,000009_female_Asian_56,0,4
000009,1,1,000009_female_Asian_56,2,16
000009,1,1,000009_female_Asian_56,1,10
000010,1,1,000010_female_Asian_58,0,4
000010,1,1,000010_female_Asian_58,0,4
000010,1,1,000010_female_Asian_58,0,4
000010,1,1,000010_female_Asian_58,0,4
000010,1,1,000010_female_Asian_58,0,4
000010,1,1,000010_female_Asian_58,2,16
000010,1,1,000010_female_Asian_58,1,10
000012,0,1,000012_male_Asian_57,0,1
000012,0,1,000012_male_Asian_57,0,1
000012,0,1,000012_male_Asian_57,0,1
000012,0,1,000012_male_Asian_57,0,1
000012,0,1,000012_male_Asian_57,0,1
000012,0,1,000012_male_Asian_57,2,13
000012,0,1,000012_male_Asian_57,1,7
000014,1,1,000014_female_Asian_58,0,4
000014,1,1,000014_female_Asian_58,0,4
000014,1,1,000014_female_Asian_58,0,4
000014,1,1,000014_female_Asian_58,0,4
